순서,식품분류기준대분류,식품분류기준중분류,식품분류기준소분류,요오드-131,세슘-134,세슘-137
292,수산물,갑각류,게,불검출,불검출,불검출
293,수산물,건어물,멸치,불검출,불검출,불검출
294,수산물,해조류,다시마,불검출,불검출,불검출
295,수산물,해조류,미역,불검출,불검출,불검출
296,수산물,건어물,새우,불검출,불검출,불검출
297,수산물,연체동물,오징어,불검출,불검출,불검출
298,수산물,어류,고등어,불검출,불검출,불검출
299,수산물,어류,삼치,불검출,불검출,불검출
300,수산물,연체동물,주꾸미,불검출,불검출,불검출
301,수산물,연체동물,주꾸미,불검출,불검출,불검출
302,수산물,갑각류,게,불검출,불검출,불검출
303,수산물,갑각류,게,불검출,불검출,불검출
304,수산물,어류,가자미,불검출,불검출,불검출
305,수산물,어류,가자미,불검출,불검출,불검출
306,수산물,어류,갈치,불검출,불검출,불검출
307,수산물,연체동물,낙지,불검출,불검출,불검출
308,수산물,어류,꽁치,불검출,불검출,불검출
309,수산물,어류,명태,불검출,불검출,불검출
310,수산물,어류,명태,불검출,불검출,불검출
311,수산물,어류,동태,불검출,불검출,불검출
312,수산물,어류,명태,불검출,불검출,불검출
313,수산물,어류,코다리,불검출,불검출,불검출
314,수산물,어류,코다리,불검출,불검출,불검출
315,수산물,어류,대구,불검출,불검출,불검출
316,수산물,어류,대구,불검출,불검출,불검출
317,수산물,어류,대구,불검출,불검출,불검출
318,수산물,어류,임연수,불검출,불검출,불검출
319,수산물,어류,날치,불검출,불검출,불검출
320,수산물,갑각류,새우,불검출,불검출,불검출
321,수산물,갑각류,새우,불검출,불검출,불검출
322,수산물,갑각류,새우,불검출,불검출,불검출
323,수산물,패류,바지락,불검출,불검출,불검출
324,수산물,패류,홍합,불검출,불검출,불검출
325,수산물,어류,조기,불검출,불검출,불검출
326,수산물,어류,조기,불검출,불검출,불검출
327,폐기물,폐기물,폐기물,불검출,불검출,불검출
328,폐기물,폐기물,폐기물,불검출,불검출,불검출
329,폐기물,폐기물,폐기물,불검출,불검출,불검출
330,가공식품,젓갈류,기타,불검출,불검출,불검출
331,수산물,어류,고등어,불검출,불검출,불검출
332,수산물,어류,삼치,불검출,불검출,불검출
333,수산물,어류,대구,불검출,불검출,불검출
334,수산물,연체동물,오징어,불검출,불검출,불검출
335,수산물,패류,꼬막,불검출,불검출,불검출
336,수산물,패류,꼬막,불검출,불검출,불검출
337,기타,기타,기타,불검출,불검출,불검출
338,기타,기타,기타,불검출,불검출,불검출
339,기타,기타,기타,불검출,불검출,불검출
340,수산물,갑각류,새우,불검출,불검출,불검출
341,수산물,패류,새우,불검출,불검출,불검출
342,수산물,패류,홍합,불검출,불검출,불검출
343,수산물,건어물,황태,불검출,불검출,불검출
344,음용수,정수,정수,불검출,불검출,불검출
345,음용수,정수,정수,불검출,불검출,불검출
346,음용수,정수,정수,불검출,불검출,불검출
347,음용수,정수,정수,불검출,불검출,불검출
348,음용수,정수,정수,불검출,불검출,불검출
349,음용수,정수,정수,불검출,불검출,불검출
350,수산물,해조류,다시마,불검출,불검출,불검출
351,수산물,건어물,멸치,불검출,불검출,불검출
352,수산물,건어물,오징어,불검출,불검출,불검출
353,수산물,패류,굴비,불검출,불검출,불검출
354,수산물,어류,조,불검출,불검출,불검출
355,수산물,어류,고등어,불검출,불검출,불검출
356,수산물,어류,삼치,불검출,불검출,불검출
357,수산물,갑각류,새우,불검출,불검출,불검출
358,수산물,어류,가자미,불검출,불검출,불검출
359,수산물,갑각류,새우,불검출,불검출,불검출
360,음용수,원수,원수,불검출,불검출,불검출
361,음용수,원수,원수,불검출,불검출,불검출
362,음용수,원수,원수,불검출,불검출,불검출
363,음용수,원수,원수,불검출,불검출,불검출
364,음용수,원수,원수,불검출,불검출,불검출
365,음용수,정수,정수,불검출,불검출,불검출
366,수산물,해조류,미역,불검출,불검출,불검출
367,수산물,건어물,북어,불검출,불검출,불검출
368,가공식품,기타,건강보조식품,불검출,불검출,불검출
369,공산품,기타,기타,불검출,불검출,불검출
370,공산품,기타,기타,불검출,불검출,불검출
371,가공식품,농산물,땅콩,불검출,불검출,불검출
372,가공식품,농산물,땅콩,불검출,불검출,불검출
373,가공식품,농산물,땅콩,불검출,불검출,불검출
374,수산물,어류,갈치,불검출,불검출,불검출
375,수산물,어류,굴비,불검출,불검출,불검출
376,수산물,해조류,김,불검출,불검출,불검출
377,수산물,연체동물,기타,불검출,불검출,불검출
378,수산물,어류,기타,불검출,불검출,불검출
379,수산물,어류,아귀,불검출,불검출,불검출
380,수산물,어류,아귀,불검출,불검출,불검출
381,수산물,어류,가자미,불검출,불검출,불검출
382,수산물,어류,기타,불검출,불검출,불검출
383,수산물,갑각류,새우,불검출,불검출,불검출
384,수산물,어류,전갱이,불검출,불검출,불검출
385,수산물,어류,대구,불검출,불검출,불검출
386,수산물,어류,꽁치,불검출,불검출,불검출
387,수산물,어류,돔,불검출,불검출,불검출
388,수산물,어류,장어,불검출,불검출,불검출
389,수산물,연체동물,오징어,불검출,불검출,불검출
390,수산물,어류,방어,불검출,불검출,불검출
391,수산물,어류,삼치,불검출,불검출,불검출
392,수산물,어류,연어,불검출,불검출,불검출
393,수산물,어류,민어,불검출,불검출,불검출
394,수산물,건어물,멸치,불검출,불검출,불검출
395,수산물,어류,조기,불검출,불검출,불검출
396,원료,향,향,불검출,불검출,불검출
397,공산품,기타,기타,불검출,불검출,불검출
